Unit,Address,SoldPrice,AskingPrice,Bed,Bath,Sqft,Age,SoldDate,DaysOnMarket,PriceSqft,Floor
323,9288 Odlin Road,565700,588000,2,2,897,11,7/13/2020,6,630.657748,3
1205,7488 Lansdowne Road,733000,768000,2,2,878,3,7/17/2020,21,834.8519362,12
417,23233 Gilley Road,525000,558888,2,2,850,0,4/1/2020,160,617.6470588,4
307,8033 Saba Road,595000,629000,2,2,862,10,7/8/2020,93,690.2552204,3
601,10155 River Drive,502500,509000,2,2,752,6,3/10/2020,7,668.2180851,6
1101,8800 Hazelbridge Way,771800,799000,2,2,806,0,7/6/2020,4,957.5682382,11
501,9399 Alexandra Rd,600000,638000,2,2,821,5,7/6/2020,35,730.816078,5
1707,9188 Cook Road,598000,599000,2,2,809,13,7/9/2020,2,739.184178,17
1708,8833 Hazelbridge Way,735000,755000,2,2,822,4,6/28/2020,6,894.1605839,17
216,9366 Tomicki Avenue,620000,629000,2,2,834,4,7/1/2020,22,743.4052758,2
702,5900 Alderbridge Way,569000,575000,2,2,731,12,7/4/2020,30,778.3857729,7
617,5508 Hollybridge Way,750000,785000,2,2,872,0,6/30/2020,50,860.0917431,6
527,5399 Cedarbridge Way,583000,599800,2,2,876,5,6/28/2020,26,665.5251142,5
801,5508 Hollybridge Way,722600,788800,2,2,855,0,6/30/2020,50,845.1461988,8
435,6828 Eckersley Road,550000,570900,2,2,818,8,7/3/2020,16,672.3716381,4
617,8080 Cambie Road,670000,680000,2,2,841,12,7/4/2020,29,796.6706302,6
1608,3331 Brown Road,745000,785000,2,2,870,3,7/4/2020,37,856.3218391,16
328,9399 Tomicki Avenue,581000,598000,2,2,888,9,6/11/2020,50,654.2792793,3
113,5900 Dover Crescent,535000,528000,2,2,812,25,6/30/2020,5,658.8669951,1
309,10033 River Drive,504700,519000,2,2,764,6,6/24/2020,1,660.6020942,3
605,8120 Lansdowne Road,668000,649000,2,2,866,11,6/22/2020,4,771.3625866,6
